GENE	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_names
AR	BP	GO:0030518	intracellular steroid hormone receptor signaling pathway	May-29	115/18614	8.70E-07	9.37E-05	4.98E-05	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
AR	BP	GO:2001233	regulation of apoptotic signaling pathway	Jul-29	381/18614	1.51E-06	1.52E-04	8.09E-05	367/1457/1984/3065/9821/6714/7157	7	AR/CSNK2A1/EIF5A/HDAC1/RB1CC1/SRC/TP53
AR	BP	GO:0043401	steroid hormone mediated signaling pathway	May-29	135/18614	1.92E-06	1.81E-04	9.62E-05	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
AR	BP	GO:0061180	mammary gland epithelium development	Apr-29	68/18614	3.61E-06	2.92E-04	1.55E-04	367/2099/5594/6714	4	AR/ESR1/MAPK1/SRC
AR	BP	GO:1902893	regulation of miRNA transcription	Apr-29	68/18614	3.61E-06	2.92E-04	1.55E-04	367/2099/4088/7157	4	AR/ESR1/SMAD3/TP53
AR	BP	GO:0061614	miRNA transcription	Apr-29	69/18614	3.83E-06	2.92E-04	1.55E-04	367/2099/4088/7157	4	AR/ESR1/SMAD3/TP53
AR	BP	GO:0048732	gland development	Jul-29	441/18614	3.97E-06	2.92E-04	1.55E-04	367/2099/5594/9821/4087/4088/6714	7	AR/ESR1/MAPK1/RB1CC1/SMAD2/SMAD3/SRC
AR	BP	GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	Apr-29	72/18614	4.54E-06	3.19E-04	1.70E-04	367/2033/3065/6714	4	AR/EP300/HDAC1/SRC
AR	BP	GO:0060444	branching involved in mammary gland duct morphogenesis	Mar-29	22/18614	5.13E-06	3.46E-04	1.84E-04	367/2099/6714	3	AR/ESR1/SRC
AR	BP	GO:2000628	regulation of miRNA metabolic process	Apr-29	81/18614	7.27E-06	4.05E-04	2.15E-04	367/2099/4088/7157	4	AR/ESR1/SMAD3/TP53
AR	BP	GO:0009755	hormone-mediated signaling pathway	May-29	192/18614	1.08E-05	4.97E-04	2.64E-04	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
AR	BP	GO:0060603	mammary gland duct morphogenesis	Mar-29	30/18614	1.34E-05	5.71E-04	3.03E-04	367/2099/6714	3	AR/ESR1/SRC
AR	BP	GO:0010586	miRNA metabolic process	Apr-29	97/18614	1.49E-05	6.17E-04	3.28E-04	367/2099/4088/7157	4	AR/ESR1/SMAD3/TP53
AR	BP	GO:0071383	cellular response to steroid hormone stimulus	May-29	209/18614	1.62E-05	6.39E-04	3.40E-04	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
AR	BP	GO:2001234	negative regulation of apoptotic signaling pathway	May-29	233/18614	2.74E-05	9.82E-04	5.22E-04	367/1457/3065/9821/6714	5	AR/CSNK2A1/HDAC1/RB1CC1/SRC
AR	BP	GO:0001701	in utero embryonic development	Jun-29	398/18614	2.88E-05	0.001012157	5.38E-04	367/2885/5594/4087/4088/7157	6	AR/GRB2/MAPK1/SMAD2/SMAD3/TP53
AR	BP	GO:0060443	mammary gland morphogenesis	Mar-29	45/18614	4.62E-05	0.001492153	7.93E-04	367/2099/6714	3	AR/ESR1/SRC
AR	BP	GO:0030521	androgen receptor signaling pathway	Mar-29	47/18614	5.26E-05	0.001605213	8.53E-04	367/2033/3065	3	AR/EP300/HDAC1
AR	BP	GO:0030879	mammary gland development	Apr-29	136/18614	5.62E-05	0.001650943	8.78E-04	367/2099/5594/6714	4	AR/ESR1/MAPK1/SRC
AR	BP	GO:0048009	insulin-like growth factor receptor signaling pathway	Mar-29	50/18614	6.34E-05	0.001830608	9.73E-04	367/2885/5594	3	AR/GRB2/MAPK1
AR	BP	GO:1902895	positive regulation of miRNA transcription	Mar-29	51/18614	6.73E-05	0.001908899	0.001014631	367/4088/7157	3	AR/SMAD3/TP53
