gene_id	gene_name	gene_type	K	Kin	Kout	TypeI	TypeII	Weight	CT_Score	CT_Score_norm	beta_y	p_value	fdr	MR_Score	Gene_Effect	MR_Score_norm
ENSG00000000003	TSPAN6	protein_coding	3	0	3	1	0	1	3	0.005016722	NA	NA	NA	0	NA	NA
ENSG00000000938	FGR	protein_coding	18	4	14	0	1	2	36	0.060200669	NA	NA	NA	0	NA	NA
ENSG00000000971	CFH	protein_coding	6	3	3	0	1	2	12	0.02006689	NA	NA	NA	0	NA	NA
ENSG00000001167	NFYA	protein_coding	30	16	14	0	1	2	60	0.100334448	NA	NA	NA	0	NA	NA
ENSG00000001617	SEMA3F	protein_coding	5	3	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000001626	CFTR	protein_coding	17	5	12	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000001631	KRIT1	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000002016	RAD52	protein_coding	11	6	5	2	1	0	0	0	0.843758801	0.884	0.97794	0	Risk	0
ENSG00000002330	BAD	protein_coding	31	15	16	0	1	2	62	0.10367893	NA	NA	NA	0	NA	NA
ENSG00000002586	CD99	protein_coding	7	4	3	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000002746	HECW1	protein_coding	3	1	2	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000002822	MAD1L1	protein_coding	19	13	6	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000002834	LASP1	protein_coding	12	5	7	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000003056	M6PR	protein_coding	4	2	2	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000003400	CASP10	protein_coding	19	14	5	0	1	2	38	0.063545151	NA	NA	NA	0	NA	NA
ENSG00000003402	CFLAR	protein_coding	20	6	14	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000003436	TFPI	protein_coding	4	2	2	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000003756	RBM5	protein_coding	3	1	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000004142	POLDIP2	protein_coding	8	1	7	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000004399	PLXND1	protein_coding	1	0	1	2	0	1	1	0.001672241	NA	NA	NA	0	NA	NA
ENSG00000004468	CD38	protein_coding	5	2	3	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000004478	FKBP4	protein_coding	10	6	4	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000004660	CAMKK1	protein_coding	3	2	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000004897	CDC27	protein_coding	15	11	4	0	1	2	30	0.050167224	NA	NA	NA	0	NA	NA
ENSG00000004939	SLC4A1	protein_coding	8	3	5	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000004948	CALCR	protein_coding	6	2	4	0	1	2	12	0.02006689	NA	NA	NA	0	NA	NA
